state,year,population,incumbent,incumbent,spending,spending,votes,votes,winner,winner,name,name
,,,DEM,REP,DEM,REP,DEM,REP,DEM,REP,DEM,REP
NY,2012,19572932.0,1.0,0.0,31470914.0,286036.0,4571038.0,1758702.0,1.0,0.0,"Gillibrand, Kirsten E.","Long, Wendy"
NY,2016,19633428.0,1.0,0.0,34885482.0,483708.0,4934872.0,2009355.0,1.0,0.0,"Schumer, Charles E.","Long, Wendy"
NY,2018,19530351.0,1.0,0.0,35880090.12,4201319.97,3854814.0,1998220.0,1.0,0.0,"Gillibrand, Kirsten E.","Farley, Chele Chiavacci"
OH,2006,11481213.0,0.0,1.0,8937004.71,12094898.0,2257369.0,1761037.0,1.0,0.0,"Brown, Sherrod","DeWine, Mike"
OH,2010,11539336.0,0.0,0.0,6396295.0,13157575.0,1503297.0,2168742.0,0.0,1.0,"Fisher, Lee","Portman, Rob"
OH,2012,11548923.0,1.0,0.0,20945196.0,18912557.0,2762766.0,2435744.0,1.0,0.0,"Brown, Sherrod","Mandel, Josh"
OH,2016,11634370.0,0.0,1.0,10736947.0,19849495.0,1996908.0,3118567.0,0.0,1.0,"Strickland, Ted","Portman, Rob"
OH,2018,11676341.0,1.0,0.0,22766559.45,12061786.51,2358508.0,2057559.0,1.0,0.0,"Brown, Sherrod","Renacci, Jim"
OK,2002,3489080.0,0.0,1.0,2086613.0,2993244.0,369789.0,583579.0,0.0,1.0,"Walters, David ","Inhofe, Jim"
OK,2008,3668976.0,0.0,1.0,2869433.0,5447312.0,527736.0,763375.0,0.0,1.0,"Rice, Andrew","Inhofe, Jim"
OK,2010,3759944.0,0.0,1.0,0.0,2072176.0,265814.0,718482.0,0.0,1.0,"Rogers, Jim","Coburn, Tom"
OK,2016,3926331.0,0.0,1.0,0.0,3041818.0,355911.0,980892.0,0.0,1.0,"Workman, Mike ","Lankford, James"
OR,2002,3513424.0,0.0,1.0,2127941.0,5307260.0,501898.0,712287.0,0.0,1.0,"Bradbury, Bill","Smith, Gordon H."
OR,2008,3768748.0,0.0,1.0,6512231.0,9254837.0,864392.0,805159.0,1.0,0.0,"Merkley, Jeff","Smith, Gordon H."
OR,2010,3837491.0,1.0,0.0,5742439.0,4757736.0,825507.0,596693.0,1.0,0.0,"Wyden, Ron","Huffman, Jim"
OR,2014,3963244.0,1.0,0.0,9647329.0,3908872.0,814537.0,538847.0,1.0,0.0,"Merkley, Jeff","Wehby, Monica"
OR,2016,4089976.0,1.0,0.0,8685642.0,36327.0,1105119.0,651106.0,1.0,0.0,"Wyden, Ron","Callahan, Mark"
PA,2006,12510809.0,0.0,1.0,17941395.0,24796718.0,2392984.0,1684778.0,1.0,0.0,"Casey, Bob, Jr.","Santorum, Rick "
PA,2010,12711160.0,0.0,0.0,13913332.0,17194810.0,1948716.0,2028945.0,0.0,1.0,"Sestak, Joe","Toomey, Pat"
PA,2012,12767118.0,1.0,0.0,11157095.0,37774108.0,3021364.0,2509132.0,1.0,0.0,"Casey, Bob, Jr.","Smith, Tom"
PA,2016,12782275.0,0.0,1.0,16592370.0,22084253.0,2865012.0,2951702.0,0.0,1.0,"McGinty, Katie","Toomey, Pat"
PA,2018,12800922.0,1.0,0.0,17816254.19,7407078.74,2792437.0,2134848.0,1.0,0.0,"Casey, Bob, Jr.","Barletta, Lou"
RI,2002,1065995.0,1.0,0.0,2329577.0,0.0,253922.0,69881.0,1.0,0.0,"Reed, John F.","Tingle, Robert G."
RI,2006,1063096.0,0.0,1.0,6587257.0,4782343.0,206110.0,179001.0,1.0,0.0,"Whitehouse, Sheldon","Chafee, Lincoln D."
RI,2008,1055003.0,1.0,0.0,3962443.0,0.0,320644.0,116174.0,1.0,0.0,"Reed, John F.","Tingle, Robert G."
RI,2012,1054621.0,1.0,0.0,3319678.0,1734369.0,271034.0,146222.0,1.0,0.0,"Whitehouse, Sheldon","Hinckley, Benjamin Barrett, III"
RI,2014,1055936.0,1.0,0.0,3362031.97,57083.0,223675.0,92684.0,1.0,0.0,"Reed, John F.","Zaccaria, Mark S."
RI,2018,1058287.0,1.0,0.0,5190199.3,1211499.82,231477.0,144421.0,1.0,0.0,"Whitehouse, Sheldon","Flanders, Robert G., Jr."
SC,2002,4107795.0,0.0,0.0,4284468.0,8397774.0,487359.0,600010.0,0.0,1.0,"Sanders, Alex","Graham, Lindsey"
SC,2008,4528996.0,0.0,1.0,17105.0,4634992.0,790621.0,1076534.0,0.0,1.0,"Conley, Bob","Graham, Lindsey"
SC,2010,4635649.0,0.0,1.0,0.0,3751338.0,364598.0,810771.0,0.0,1.0,"Greene, Alvin M.","DeMint, Jim"
